score;threshold;flag_rate;precision;recall;f1;mcc
ev_ramp_max;3.6;0.9035087719298246;0.2168284789644013;0.9305555555555556;0.35170603674540685;0.04730313116664416
ev_ramp_max;5.8;0.6666666666666666;0.2675438596491228;0.8472222222222222;0.4066666666666667;0.19778870132131
ev_ramp_max;7.2;0.5029239766081871;0.313953488372093;0.75;0.4426229508196721;0.2551833831806601
ev_ramp_max;9.0;0.36257309941520466;0.3951612903225806;0.6805555555555556;0.5;0.341565928072294
ev_ramp_max;11.0;0.22807017543859648;0.3717948717948718;0.4027777777777778;0.38666666666666666;0.21501710538316623
ev_spec_rate100;1.0;0.7397660818713451;0.2648221343873518;0.9305555555555556;0.4123076923076923;0.22454822076945102
ev_spec_rate100;3.3;0.6140350877192983;0.29523809523809524;0.8611111111111112;0.4397163120567376;0.2620863859289026
ev_spec_rate100;7.1;0.4590643274853801;0.29936305732484075;0.6527777777777778;0.4104803493449782;0.2007402951398758
ev_spec_rate100;14.3;0.3216374269005848;0.3181818181818182;0.4861111111111111;0.38461538461538464;0.18183042670366012
ev_L2_large_tuned_rate100;1.0;0.3304093567251462;0.4336283185840708;0.6805555555555556;0.5297297297297298;0.38441730110034245
ev_L2_large_tuned_rate100;3.3;0.23684210526315788;0.41975308641975306;0.4722222222222222;0.4444444444444444;0.2859021908857291
ev_L2_large_tuned_rate100;7.1;0.18128654970760233;0.3387096774193548;0.2916666666666667;0.31343283582089554;0.14795391506514086
ev_L2_large_tuned_rate100;14.3;0.1023391812865497;0.3142857142857143;0.1527777777777778;0.205607476635514;0.08593503449443536
