target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.3,130585,135734,2.1293985843658447,0.7491230964660645,0.2135,0,True
0.3,53628,52540,13.804882049560547,1.6274518966674805,0.5337,1,True
0.3,120027,64665,2.253319263458252,1.758148193359375,11.2641,0,True
0.3,134355,89745,2.489196538925171,1.6847343444824219,1.4352,0,True
0.3,53911,80759,6.538204669952393,0.8062739372253418,0.2402,0,True
0.3,50922,124154,8.551192283630371,0.47692108154296875,0.4507,0,True
0.3,45390,53638,64.19563293457031,3.7668819427490234,2.2261,0,True
0.3,42451,64501,1.4364805221557617,1.4607048034667969,0.6605,0,True
0.3,115938,64501,1.4593266248703003,1.6167072057724,0.0,0,True
0.3,49688,52540,21.61717987060547,1.7663393020629883,0.0104,0,True
0.3,109606,37255,1.5902822017669678,1.0526683330535889,0.0119,0,True
0.3,59324,63027,4.338414669036865,0.9145803451538086,0.0623,1,True
0.3,119204,39692,4.748597145080566,0.8260137438774109,0.0119,0,True
0.3,40596,80759,7.880678653717041,0.7210493087768555,0.0267,0,True
0.3,108942,37255,1.4910895824432373,1.0565385818481445,0.0148,0,True
0.3,79328,89745,2.5580739974975586,1.3336864709854126,0.0,0,True
0.3,43023,80759,8.308772087097168,0.7316640615463257,0.003,0,True
0.3,43886,38247,1.6301801204681396,1.889360785484314,0.0297,0,True
0.3,130959,80759,7.765793323516846,0.7210493087768555,0.003,0,True
0.3,81628,39692,4.379830360412598,0.7704795002937317,0.0,0,True
0.3,103625,64501,1.4138613939285278,1.767627477645874,0.0119,0,True
0.3,139899,94429,1.2622092962265015,1.3273669481277466,0.0089,0,True
0.3,50750,72042,1.6422842741012573,0.8930935263633728,0.0089,0,True
0.3,60129,122261,2.0834474563598633,1.135472059249878,0.0074,0,True
0.3,50906,52540,15.376336097717285,1.6274522542953491,0.0,0,True
0.3,62671,89745,2.8131561279296875,1.2926342487335205,0.0208,0,True
0.3,80891,64501,1.3527066707611084,1.6661006212234497,0.0341,0,True
0.3,108740,134329,4.445714473724365,0.9264187216758728,0.0104,0,True
0.3,86463,53638,83.99827575683594,4.765285491943359,0.0504,1,True
0.3,57713,52540,20.560853958129883,1.4544395208358765,0.0044,0,True
0.3,143363,64665,2.0913078784942627,1.8931019306182861,0.0119,0,True
0.3,40306,135734,2.4051480293273926,0.764882504940033,0.0,0,True
0.3,45975,64501,1.340035319328308,1.6384696960449219,0.0252,0,True
0.3,48676,39692,4.295055866241455,0.7936067581176758,0.003,1,True
0.3,97973,39692,4.102869033813477,0.793606698513031,0.0119,1,True
0.3,85829,64501,1.3676867485046387,1.6167072057724,0.0015,0,True
0.3,86608,64665,2.1172597408294678,1.9301810264587402,0.0133,0,True
0.3,115972,38247,1.736058235168457,1.8193387985229492,0.0089,0,True
0.3,36996,135734,2.6233696937561035,0.664763331413269,0.0178,0,True
0.3,39619,53638,75.50161743164062,4.002749443054199,0.003,0,True
0.3,54528,52540,17.92157554626465,1.7663391828536987,0.0074,0,True
0.3,54506,64665,1.9051955938339233,1.9401121139526367,0.0015,0,True
0.3,42564,72042,1.9215930700302124,0.7989842891693115,0.0148,0,True
0.3,98956,64501,1.3944536447525024,1.602731704711914,0.0089,0,True
0.3,54310,136990,3.305129289627075,1.4131052494049072,0.0104,0,True
0.3,44226,53638,79.8019790649414,4.131030559539795,0.0133,1,True
0.3,39749,80759,7.5544114112854,0.8617465496063232,0.0067,0,True
0.3,146626,52540,34.97536849975586,1.9354063272476196,0.0044,0,True
0.3,38241,38247,2.127138137817383,1.872438669204712,0.0193,0,True
0.3,117851,64665,2.0415098667144775,1.9401121139526367,0.0178,0,True
0.3,144150,37255,1.4463883638381958,1.0526684522628784,0.0059,0,True
0.3,144891,72042,1.6193861961364746,0.8894249200820923,0.0074,0,True
0.3,42735,37255,1.699556827545166,1.051195740699768,0.0089,0,True
0.3,46633,80759,7.051290988922119,0.7197914123535156,0.0059,0,True
0.3,126705,135734,2.3660154342651367,0.6665413975715637,0.0,0,True
0.3,85104,134329,4.569375514984131,0.8949310779571533,0.0044,0,True
0.3,93082,53638,79.07072448730469,4.266745567321777,0.0119,1,True
0.3,137648,94429,1.3088874816894531,1.336314082145691,0.0133,0,True
0.3,42224,94429,1.4010396003723145,1.2926104068756104,0.0104,0,True
0.3,49541,134329,4.314793586730957,0.8949311971664429,0.0934,0,True
0.3,89262,64501,1.2705609798431396,1.7676273584365845,0.0119,0,True
0.3,36788,80759,8.403814315795898,0.7802711725234985,0.0059,0,True
0.3,136911,135734,2.4276702404022217,0.6665413975715637,0.0237,1,True
0.3,99224,37255,1.4253735542297363,1.0565383434295654,0.0,0,True
0.3,100701,72042,1.8853049278259277,0.8692395687103271,0.003,0,True
0.3,116338,64501,1.4023463726043701,1.6454110145568848,0.003,0,True
0.3,132786,52540,24.43633270263672,1.6933269500732422,0.0089,0,True
0.3,106235,122261,2.123433828353882,1.135472059249878,0.0193,0,True
0.3,122375,63027,4.322082042694092,0.9159032106399536,0.0,1,True
0.3,139290,135734,2.4407107830047607,0.6647633910179138,0.0133,0,True
0.3,56566,64665,2.079124689102173,1.9301809072494507,0.0,0,True
0.3,121879,64501,1.524232029914856,1.460703730583191,0.0074,0,True
0.3,139749,38247,1.5812476873397827,1.8193387985229492,0.0,0,True
0.3,98336,135734,2.0990936756134033,0.7144322991371155,0.0341,0,True
0.3,134077,135734,2.336437940597534,0.7214585542678833,0.0267,1,True
0.3,64048,122261,2.2993569374084473,0.9500055313110352,0.0059,0,True
0.3,86637,64501,1.3064285516738892,1.6167072057724,0.0148,0,True
0.3,43571,72042,1.929226040840149,0.8437155485153198,0.0015,0,True
0.3,132675,64501,1.4056806564331055,1.7676273584365845,0.0059,0,True
0.3,133664,80759,7.365388870239258,0.7651947736740112,0.0504,0,True
0.3,142978,64501,1.219854474067688,1.6661007404327393,0.0074,0,True
0.3,36113,122261,2.3386683464050293,1.135472059249878,0.0148,0,True
0.3,114901,53638,82.48499298095703,4.44424295425415,0.0074,1,True
0.3,144892,136990,3.202396869659424,1.45035719871521,0.0,0,True
0.3,42140,124154,8.628934860229492,0.476191908121109,0.0104,0,True
0.3,137114,64665,2.128819704055786,1.9307738542556763,0.0,0,True
0.3,43312,135734,2.108802318572998,0.7144323587417603,0.0089,0,True
0.3,40597,136990,3.177645206451416,1.4233946800231934,0.0044,0,True
0.3,144213,39692,4.384421348571777,0.7916299104690552,0.0059,0,True
0.3,91023,124154,8.519450187683105,0.4761919379234314,0.0311,0,True
0.3,121469,94429,1.3020219802856445,1.336314082145691,0.0193,0,True
0.3,89263,134329,5.200949668884277,0.5943636894226074,0.0133,0,True
0.3,51261,38247,2.104520320892334,1.8193387985229492,0.0208,0,True
0.3,138369,63027,4.321218013763428,0.9159032106399536,0.046,1,True
0.3,135456,94429,1.4164351224899292,1.3273669481277466,0.003,0,True
0.3,95138,64665,2.2104992866516113,1.9071178436279297,0.0074,0,True
0.3,46224,52540,12.173811912536621,1.7663393020629883,0.0089,0,True
0.3,141596,63027,4.323141574859619,0.9128379821777344,0.0133,1,True
0.3,82945,72042,1.8898171186447144,0.8605881929397583,0.0163,0,True
0.3,142213,64501,1.2477012872695923,1.7521615028381348,0.0074,0,True
0.3,87134,136990,3.2471938133239746,1.3327621221542358,0.0074,0,True
0.3,145295,80759,7.132316589355469,0.74723219871521,0.0059,0,True
0.3,91024,80759,7.813150882720947,0.7292696237564087,0.0163,0,True
0.3,79484,134329,4.832722187042236,0.6802148222923279,0.0015,0,True
0.3,88974,122261,2.0934038162231445,1.321031093597412,0.0178,0,True
0.3,119269,136990,3.1205806732177734,1.4233946800231934,0.0059,0,True
0.3,99611,63027,4.347349166870117,0.9133911728858948,0.0297,1,True
0.3,118947,52540,20.187824249267578,1.7663393020629883,0.0148,0,True
0.3,111646,72042,1.814102053642273,0.8692395091056824,0.0119,0,True
0.3,54820,136990,3.338935613632202,1.3797329664230347,0.0015,0,True
0.3,116088,122261,2.119600296020508,1.1755200624465942,0.0178,0,True
0.3,137235,52540,20.808937072753906,1.5887329578399658,0.0726,0,True
0.3,133665,89745,2.5510873794555664,1.5884425640106201,0.0341,0,True
0.3,61600,39692,4.313211441040039,0.7916297912597656,0.0334,1,True
0.3,36022,129791,11.571127891540527,0.5354220867156982,0.003,0,True
0.3,143761,80759,7.668578624725342,0.7137477993965149,0.0,0,True
0.3,91094,89745,2.359863519668579,1.7748807668685913,0.0163,0,True
0.3,109393,64665,2.216604471206665,1.9307739734649658,0.0133,0,True
0.3,92391,80759,6.722524166107178,0.7651947736740112,0.0,1,True
0.3,83026,64501,1.2575534582138062,1.7932175397872925,0.0274,0,True
0.3,64399,124154,8.598257064819336,0.5006049275398254,0.0074,0,True
0.3,140468,72042,1.6433188915252686,0.8930935263633728,0.0141,1,True
