mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
100588,False,False,0.0,7780.499053955078,0,
100589,False,False,0.0,7434.935012817383,0,
100590,False,False,0.0,183.86001205444336,0,
100600,False,False,0.0,4251.647960662842,0,
100602,False,False,0.0,16084.127075195312,0,
100606,False,False,0.0,1984.368989944458,0,
100607,False,False,0.0,2052.9289779663086,0,
100609,False,False,0.0,3987.28999710083,0,
100611,False,False,0.0,3347.25199508667,0,
100614,False,False,0.0,5287.771041870117,0,
100617,False,False,0.0,9285.960960388184,0,
100620,False,False,0.0,13850.09602355957,0,
100621,False,False,0.0,1719.2690181732178,0,
100623,False,False,0.0,5522.250999450684,0,
100624,False,False,0.0,3465.895004272461,0,
100625,False,False,0.0,2763.5059967041016,0,
100632,False,False,0.0,1839.9519634246824,0,
100633,False,False,0.0,3989.363082885742,0,
100634,False,False,0.0,2789.465021133423,0,
100637,False,False,0.0,3207.457005500793,0,
100654,False,False,0.0,4116.440981864929,0,
100662,False,False,0.0,4051.864006042481,0,
100664,False,False,0.0,9646.494064331057,0,
100667,False,True,22703.01830148697,11254.720048427582,119,49.0
100752,False,False,0.0,6329.278671264648,0,
101094,False,False,0.0,8602.487884521484,0,
101095,False,False,0.0,6685.875965118408,0,
101096,False,False,0.0,2653.3119945526123,0,
10185,False,False,0.0,1314.8989849090576,0,
10187,False,False,0.0,1274.9340019226074,0,
10188,False,False,0.0,2126.880045890808,0,
10189,False,False,0.0,1770.1539869308472,0,
10190,False,False,0.0,1743.3949928283691,0,
10191,False,False,0.0,1625.1379799842834,0,
10192,False,False,0.0,2198.5560340881348,0,
10194,False,False,0.0,914.6660079956056,0,
10195,False,False,0.0,1394.2670269012451,0,
10196,False,False,0.0,91.91899985074996,0,
10205,False,False,0.0,1480.6830139160156,0,
10207,False,False,0.0,1822.1509971618648,0,
10212,False,False,0.0,10570.381958007812,0,
10213,False,False,0.0,1601.0999900698662,0,
10214,False,False,0.0,761.7310066223145,0,
10217,False,False,0.0,1098.9379844665527,0,
10219,False,False,0.0,213.5290050506592,0,
10229,False,False,0.0,664.2540055513382,0,
10246,False,False,0.0,62.49100077152252,0,
10325,False,True,28517.16891860962,26506.84307861328,123,52.0
103556,False,True,28397.40301513672,22257.70887756348,123,50.0
103557,False,True,31663.75718688965,10792.65496444702,123,50.0
10406,False,False,0.0,2344.863986968994,0,
10412,True,False,969.1149816513062,0.0740000023506581,57,46.0
10426,False,False,7.201000213623047,29.650001525878903,0,46.0
10428,False,True,1858.01298481226,426.0830008983612,40,48.0
104514,False,True,67641.35085892677,229493.9237060547,117,49.25
10774,False,False,0.0,4553.988929748535,0,
10783,False,False,0.0,1341.9810199737549,0,
10784,False,False,0.0,2107.7429962158203,0,
10836,False,False,0.0,2341.8510208129883,0,
10840,False,False,0.0,4211.178024291992,0,
10841,False,False,0.0,3089.344970703125,0,
10844,False,False,0.0,6480.522064208984,0,
10845,False,False,0.0,4058.120941162109,0,
10850,False,False,0.0,1621.0560111999512,0,
10857,False,False,0.0,372.31400203704834,0,
10869,False,False,0.0,3834.419990539551,0,
10872,False,False,0.0,4458.831008911133,0,
10873,False,False,0.0,1658.9009952545166,0,
108794,False,False,0.0020000000949949,4153.724006652832,0,83.5
10880,False,False,0.0,1535.6980056762695,0,
10887,False,False,0.0,5361.748901367188,0,
10889,False,False,0.0,602.4039977788925,0,
10893,False,False,0.0,2456.6499786376958,0,
108937,False,False,0.0,2647.720050811768,0,
10895,False,False,0.0,4876.938056945801,0,
10898,False,False,0.0,229.23099939525127,0,
10899,False,False,0.0,1130.8360290527344,0,
10902,False,False,0.0,1499.6119995117188,0,
10903,False,False,0.0,3573.707946777344,0,
109056,False,False,0.0,9392.98306274414,0,
109057,False,False,0.0,3518.5299911499023,0,
109072,False,False,0.0,13806.247024536133,0,
109073,False,False,0.0,33241.532974243164,0,
109078,False,False,0.0010000000474974,3002.940990447998,0,43.0
10908,False,False,0.0,1310.6620111465454,0,
109080,False,False,0.0,2272.800015449524,0,
109082,False,False,0.0,4620.833984375,0,
109085,False,False,0.0,3886.431991577149,0,
109086,False,False,0.0,2086.4560012817383,0,
109087,False,False,0.0,12062.925033569336,0,
109090,False,False,0.0,10858.770904541016,0,
10910,False,False,0.0,1336.5740089416504,0,
10912,False,False,0.0,637.3080013841391,0,
10915,False,False,0.0,2330.6319785118103,0,
10916,False,False,0.0,856.8780040740967,0,
10919,False,False,0.0,1498.4229969978333,0,
10920,False,True,6877.319999694824,1430.5999994277954,90,54.5
109234,False,False,53.83700037002564,4374.067077636719,0,47.0
109289,False,True,3923.612018227577,9111.337886810305,108,51.0
10929,False,False,0.0,3557.066947698593,0,
10930,False,False,113.02300071716309,4646.751983642578,35,50.5
109318,False,True,5340.062044359744,12093.952033996582,96,49.0
10938,False,False,0.0,380.865003824234,0,
10939,False,False,0.0,1560.7940139770508,0,
10945,False,False,0.0,24.923999786376957,0,
10949,False,False,0.0,1038.806983947754,0,
