GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf;MP IDs;n_meters
739616;4813;Uerkheim;AG;-;x;;x;-;-;30.01.2021;kW 17;24.06.2021;11.05.2021;PV + Batterie;134852;1
716671;8962;Bergdietikon;AG;-;-;;x;-;-;01.02.2021;KW29;-;04.12.2017;Batterie;64237;1
744897;5106;Veltheim AG;AG;x;-;;-;-;-;15.03.2021;KW30;02.09.2021;;;61197;1
175022;5313;Klingnau;AG;-;x;;x;-;-;17.03.2021;kW31;10.11.2021;;;56236;1
134065;5316;Leuggern;AG;-;x;;x;x;-;29.03.2021;kW34;29.10.2021;13.09.2021;PV + Batterie + EV-Ladestation;142407;1
724881;5745;Safenwil;AG;x;-;;-;-;-;30.03.2021;KW44;18.02.2022;08.12.2021;Wärmepumpe;62764;1
712273;4313;Möhlin;AG;-;x;;x;-;-;02.04.2021;kW32;15.10.2021;23.08.2021;PV + Batterie;154700;1
571965;5464;Rümikon AG;AG;-;-;;-;x;-;11.04.2021;KW22;-;28.11.2019;EV-Ladestation;63347;1
872270;5706;Boniswil;AG;x;x;;-;-;-;27.04.2021;KW26;04.10.2021;04.08.2021;Wärmepumpe + PV;104095,104098,90985;3
748404;5614;Sarmenstorf;AG;x;x;;x;-;-;28.04.2021;KW35;04.11.2021;27.09.2021;Wärmepumpe + PV + Batterie;162636;1
738591;5745;Safenwil;AG;-;x;;x;-;x;04.05.2021;KW34;28.01.2022;;;58311;1
741254;4316;Hellikon;AG;x;x;;x;-;-;04.05.2021;KW30;09.11.2021;24.09.2021;Wärmepumpe + PV + Batterie;157156;1
737347;5074;Eiken;AG;x;-;;-;-;-;09.05.2021;KW41;26.11.2021;;;89341;1
751454;4310;Rheinfelden;AG;x;x;;x;x;-;10.05.2021;KW32;20.10.2021;31.08.2021;Wärmepumpe + PV + Batterie + EV-Ladestation;47403;1
714588;4313;Möhlin;AG;-;x;;x;x;-;14.05.2021;KW30;20.10.2021;;;150096;1
751780;4313;Möhlin;AG;-;x;;x;-;-;17.05.2021;KW30;20.10.2021;;;147591;1
118180;5607;Hägglingen;AG;x;x;;x;x;-;18.05.2021;KW30;23.12.2021;04.11.2021;Wärmepumpe + PV + Batterie + EV-Ladestation;139818;1
712641;4313;Möhlin;AG;x;x;;x;-;-;20.05.2021;KW5;15.03.2022;07.10.2021;Wärmepumpe + PV + Batterie;157092;1
734850;5614;Sarmenstorf;AG;x;x;;x;x;-;30.05.2021;KW45;01.03.2022;21.12.2021;Wärmepumpe + PV + Batterie + EV-Ladestation;162637;1
865899;5225;Bözberg;AG;-;x;;x;-;-;01.06.2021;KW39;11.01.2022;25.11.2021;PV + Batterie;93740;1
742993;4317;Wegenstetten;AG;x;-;;-;-;-;04.06.2021;KW40;17.11.2021;;;131646;1
896592;4313;Möhlin;AG;-;x;;-;-;-;04.06.2021;KW33;19.10.2021;17.08.2021;PV;152736;1
738793;5070;Frick;AG;x;x;;-;-;-;05.06.2021;KW35;26.10.2021;16.09.2021;Wärmepumpe + PV;168959;1
152528;5225;Bözberg;AG;-;x;;x;x;-;07.06.2021;KW34;21.10.2021;02.09.2021;PV + Batterie + EV-Ladestation;101195;1
195088;4313;Möhlin;AG;x;-;;-;-;-;07.06.2021;kW42;09.12.2021;07.09.2022;Wärmepumpe;141982;1
785007;5622;Waltenschwil;AG;-;-;;x;-;-;13.06.2021;KW30;-;09.05.2019;Batterie;107581;1
806207;5225;Bözberg;AG;-;x;;x;-;-;17.06.2021;KW38;21.12.2021;20.10.2021;PV + Batterie;98200;1
714489;4313;Möhlin;AG;x;x;;x;-;-;27.06.2021;KW43;10.02.2022;03.12.2021;Wärmepumpe + PV + Batterie;147351;1
