mp_id;year;month;direction;kwh;n_days;midday_kwh;night_kwh;plz
114315;2026;1;einsp;0.06700000143609941;31;0.06399999756831676;0.0;4303
114315;2026;2;bezug;1417.5480098724365;28;121.11200058460236;168.94800066947937;4303
114315;2026;2;einsp;5.6860001555178314;28;4.121000085258856;0.0;4303
114315;2026;3;bezug;1314.2319927215576;31;80.45800083875656;170.57699871063232;4303
114315;2026;3;einsp;19.574000088032335;31;12.484999782871455;0.0;4303
114315;2026;4;bezug;787.3170013427734;30;29.83900063391775;131.02400040626526;4303
114315;2026;4;einsp;27.15100022405386;30;18.127000328153372;0.0;4303
114315;2026;5;bezug;499.4870038032532;31;25.814000461017713;81.15500167012215;4303
114315;2026;5;einsp;21.634999737143517;31;15.276000119745731;0.0;4303
114315;2026;6;bezug;225.18200254440308;30;12.826000286033377;29.014999747276306;4303
114315;2026;6;einsp;18.641000162810087;30;13.768000149633735;0.0;4303
114315;2026;7;bezug;174.98299860954285;31;10.760999870486557;22.96599990129471;4303
114315;2026;7;einsp;21.85900016129017;31;16.471000134944916;0.0;4303
115387;2023;1;bezug;0.0;31;0.0;0.0;5452
115387;2023;1;einsp;0.0;31;0.0;0.0;5452
115387;2023;2;bezug;0.0;28;0.0;0.0;5452
115387;2023;2;einsp;0.0;28;0.0;0.0;5452
115387;2023;3;bezug;0.0;31;0.0;0.0;5452
115387;2023;3;einsp;0.0;31;0.0;0.0;5452
115387;2023;4;bezug;0.0;23;0.0;0.0;5452
115387;2023;4;einsp;0.0;23;0.0;0.0;5452
115387;2023;5;bezug;0.0;31;0.0;0.0;5452
115387;2023;5;einsp;0.0;31;0.0;0.0;5452
115387;2023;6;bezug;0.0;30;0.0;0.0;5452
115387;2023;6;einsp;0.0;30;0.0;0.0;5452
115387;2023;7;bezug;0.0;31;0.0;0.0;5452
115387;2023;7;einsp;0.0;31;0.0;0.0;5452
115387;2023;8;bezug;0.0;31;0.0;0.0;5452
115387;2023;8;einsp;0.0;31;0.0;0.0;5452
115387;2023;9;bezug;0.0;30;0.0;0.0;5452
115387;2023;9;einsp;0.0;30;0.0;0.0;5452
115387;2023;10;bezug;0.0;31;0.0;0.0;5452
115387;2023;10;einsp;0.0;31;0.0;0.0;5452
115387;2023;11;bezug;0.0;30;0.0;0.0;5452
115387;2023;11;einsp;0.0;30;0.0;0.0;5452
115387;2023;12;bezug;0.0;31;0.0;0.0;5452
115387;2023;12;einsp;0.0;31;0.0;0.0;5452
115387;2024;1;bezug;0.0;31;0.0;0.0;5452
115387;2024;1;einsp;0.0;31;0.0;0.0;5452
115387;2024;2;bezug;0.0;29;0.0;0.0;5452
115387;2024;2;einsp;0.0;29;0.0;0.0;5452
115387;2024;3;bezug;0.0;31;0.0;0.0;5452
115387;2024;3;einsp;0.0;31;0.0;0.0;5452
115387;2024;4;bezug;0.0;30;0.0;0.0;5452
115387;2024;4;einsp;0.0;30;0.0;0.0;5452
115387;2024;5;bezug;44.43199920654297;31;7.589000225067139;3.25;5452
115387;2024;5;einsp;0.0;31;0.0;0.0;5452
115387;2024;6;bezug;49.87699890136719;30;7.456999778747559;2.2080000042915344;5452
115387;2024;6;einsp;0.0;30;0.0;0.0;5452
115387;2024;7;bezug;0.0;31;0.0;0.0;5452
115387;2024;7;einsp;0.0;31;0.0;0.0;5452
115387;2024;8;bezug;0.0;31;0.0;0.0;5452
115387;2024;8;einsp;0.0;31;0.0;0.0;5452
115387;2024;9;bezug;693.4060125350952;30;120.57899886369705;61.78600054979324;5452
115387;2024;9;einsp;0.0;30;0.0;0.0;5452
115387;2024;11;bezug;1149.8240070343018;30;56.306998991407454;87.51900172233582;5452
115387;2024;11;einsp;19.848998960573226;30;17.02200034633279;0.0;5452
115387;2024;12;bezug;2028.667007446289;31;196.9169977903366;149.18400120735168;5452
115387;2024;12;einsp;0.6699999985285103;31;0.5710000020917505;0.0;5452
115387;2025;1;bezug;1954.2199974060059;31;129.01499776542187;174.33099842071533;5452
115387;2025;1;einsp;15.189999995171092;31;12.636999738868326;0.0;5452
115387;2025;2;bezug;1523.42702293396;28;94.25000159349293;143.85099840164185;5452
115387;2025;2;einsp;28.85199977643788;28;22.174999979441054;0.0;5452
115387;2025;3;bezug;866.2940053939819;31;13.500000161351636;112.40000212192535;5452
115387;2025;3;einsp;533.0090119894594;31;337.3890023706481;0.0;5452
115387;2025;4;bezug;370.79300022125244;30;1.7209998422767967;68.09899933449924;5452
115387;2025;4;einsp;1276.4699651151896;30;550.4760116487741;0.027000002562999725;5452
115387;2025;5;bezug;213.27399790287018;31;2.1080000014044344;35.14900026656687;5452
115387;2025;5;einsp;1382.4890017211437;31;541.3190039843321;0.17900001246016473;5452
115387;2025;6;bezug;84.95799835026264;30;0.20599998719990253;17.090999298729002;5452
115387;2025;6;einsp;1798.869001865387;30;646.7570059299469;0.3380000266479328;5452
115387;2025;7;bezug;73.05999866127968;31;0.8730000128271058;15.635000112466514;5452
115387;2025;7;einsp;1467.7910079956055;31;535.3670010566711;0.39400003058835864;5452
115387;2025;8;bezug;130.8949998319149;31;0.7750000163214281;25.402999888174236;5452
115387;2025;8;einsp;1455.1029584407806;31;609.1139995455742;0.3250000262632966;5452
115387;2025;9;bezug;400.0980033874512;30;1.3910000366158783;66.00600039958954;5452
115387;2025;9;einsp;679.0929954200983;30;341.36800269410014;0.0;5452
115387;2025;10;bezug;715.4130010604858;31;16.96100035472773;89.40400087833405;5452
115387;2025;10;einsp;233.64800081949215;31;144.50300063937902;0.0;5452
115387;2025;11;bezug;1499.8199977874756;30;109.46600200596731;99.49599915742874;5452
115387;2025;11;einsp;32.31899964378681;30;27.31400064623449;0.0;5452
115387;2025;12;bezug;2129.1460189819336;31;198.97199299931526;170.82099771499634;5452
115387;2025;12;einsp;1.3699999252567068;31;1.278999991598539;0.0;5452
115387;2026;1;bezug;2606.7460327148438;31;275.22499907016754;304.6259984970093;5452
115387;2026;1;einsp;7.852999905124307;31;6.808999919798225;0.0;5452
115387;2026;2;bezug;1430.1449851989746;28;98.13199846073985;134.202996134758;5452
115387;2026;2;einsp;148.45400067756418;28;89.64000070816837;0.0;5452
115387;2026;3;bezug;815.0399808883667;31;14.734999890788458;119.2049993276596;5452
115387;2026;3;einsp;666.7370060048997;31;354.21700111217797;0.0;5452
115387;2026;4;bezug;394.6420006752014;30;1.314999949070625;122.39699804782867;5452
115387;2026;4;einsp;1315.2949789762497;30;580.4469989836216;0.022000001277774572;5452
115387;2026;5;bezug;214.0579995214939;31;0.5430000032065436;78.59099888894707;5452
115387;2026;5;einsp;1601.957034111023;31;641.8000011444092;0.10200000565964729;5452
115387;2026;6;bezug;92.8899986743927;30;1.5799999320879579;35.1610003602691;5452
115387;2026;6;einsp;1705.388993024826;30;662.0480017960072;0.1110000052722171;5452
115387;2026;7;bezug;59.016999050974846;31;0.30499999108724296;28.477000569924712;5452
115387;2026;7;einsp;1910.6870307922363;31;739.3560066223145;0.20300001127179712;5452
115589;2023;1;bezug;0.0;31;0.0;0.0;8962
115589;2023;1;einsp;0.0;31;0.0;0.0;8962
115589;2023;2;bezug;0.0;28;0.0;0.0;8962
115589;2023;2;einsp;0.0;28;0.0;0.0;8962
115589;2023;3;bezug;0.0;31;0.0;0.0;8962
115589;2023;3;einsp;0.0;31;0.0;0.0;8962
115589;2023;4;bezug;0.0;23;0.0;0.0;8962
115589;2023;4;einsp;0.0;23;0.0;0.0;8962
115589;2023;5;bezug;0.0;31;0.0;0.0;8962
115589;2023;5;einsp;0.0;31;0.0;0.0;8962
115589;2023;6;bezug;0.0;30;0.0;0.0;8962
115589;2023;6;einsp;0.0;30;0.0;0.0;8962
115589;2023;7;bezug;0.0;31;0.0;0.0;8962
115589;2023;7;einsp;0.0;31;0.0;0.0;8962
115589;2023;8;bezug;0.0;31;0.0;0.0;8962
115589;2023;8;einsp;0.0;31;0.0;0.0;8962
115589;2023;9;bezug;0.0;30;0.0;0.0;8962
115589;2023;9;einsp;0.0;30;0.0;0.0;8962
115589;2023;10;bezug;0.0;31;0.0;0.0;8962
115589;2023;10;einsp;0.0;31;0.0;0.0;8962
115589;2023;11;bezug;0.0;30;0.0;0.0;8962
115589;2023;11;einsp;0.0;30;0.0;0.0;8962
115589;2023;12;bezug;0.0;31;0.0;0.0;8962
115589;2023;12;einsp;0.0;31;0.0;0.0;8962
115589;2024;1;bezug;0.0;31;0.0;0.0;8962
115589;2024;1;einsp;0.0;31;0.0;0.0;8962
115589;2024;2;bezug;0.0;29;0.0;0.0;8962
115589;2024;2;einsp;0.0;29;0.0;0.0;8962
115589;2024;3;bezug;0.0;31;0.0;0.0;8962
115589;2024;3;einsp;0.0;31;0.0;0.0;8962
115589;2024;4;bezug;0.0;30;0.0;0.0;8962
115589;2024;4;einsp;0.0;30;0.0;0.0;8962
115589;2024;5;bezug;34.70900058746338;31;4.401000261306763;3.1890000104904175;8962
115589;2024;5;einsp;0.0;31;0.0;0.0;8962
115589;2024;6;bezug;38.16600227355957;30;5.82200026512146;3.114000082015991;8962
115589;2024;6;einsp;0.0;30;0.0;0.0;8962
115589;2024;7;bezug;0.0;31;0.0;0.0;8962
115589;2024;7;einsp;0.0;31;0.0;0.0;8962
115589;2024;8;bezug;0.0;31;0.0;0.0;8962
115589;2024;8;einsp;0.0;31;0.0;0.0;8962
115589;2024;9;bezug;352.22400093078613;30;36.20700025558472;32.09999996423721;8962
115589;2024;9;einsp;0.0;30;0.0;0.0;8962
115589;2024;11;bezug;320.36699962615967;30;21.628000054508448;28.298999667167664;8962
115589;2024;11;einsp;46.54999968409538;30;31.77899992093444;0.010000000591389835;8962
115589;2024;12;bezug;294.39599537849426;31;15.791999941691756;33.59599988069385;8962
115589;2024;12;einsp;15.237999761360697;31;8.424000043421984;0.043000003322958946;8962
115589;2025;1;bezug;164.25699763000011;31;3.201999846380204;16.514000232331455;8962
115589;2025;1;einsp;44.21399920992553;31;17.130999960005283;0.1930000155698508;8962
115589;2025;2;bezug;107.5049968957901;28;4.493999941740185;11.691000000108033;8962
115589;2025;2;einsp;90.76000008161645;28;38.42299934849143;0.276000021956861;8962
115589;2025;3;bezug;62.58299820125103;31;0.73200000426732;8.570000078063458;8962
115589;2025;3;einsp;442.2020163834095;31;245.11900424957275;0.538000043714419;8962
115589;2025;4;bezug;11.772999864071608;30;0.3070000138832256;3.0309999282471836;8962
115589;2025;4;einsp;1015.8479571342468;30;421.69900888204575;0.6830000597983599;8962
115589;2025;5;bezug;15.501999884843826;31;0.2239999989978969;2.280000016093254;8962
115589;2025;5;einsp;1065.2919657230377;31;429.1129912286997;0.7250000657513738;8962
115589;2025;6;bezug;4.279000073671341;30;0.09799999906681478;0.30600002128630877;8962
115589;2025;6;einsp;1440.9619598388672;30;521.4559965133667;0.8130000773817301;8962
115589;2025;7;bezug;8.306000031530857;31;0.6120000015944242;0.3620000286027789;8962
115589;2025;7;einsp;1099.6819744110107;31;435.8229994773865;0.8650000840425491;8962
115589;2025;8;bezug;15.840999342501163;31;0.3349999909987673;1.3570000724866986;8962
115589;2025;8;einsp;1077.676955461502;31;468.04299744963646;0.8500000815838575;8962
115589;2025;9;bezug;10.213999975472689;30;0.5350000105099753;1.492000020109117;8962
115589;2025;9;einsp;539.9899994134903;30;269.35900141112506;0.7460000682622194;8962
115589;2025;10;bezug;33.80999977886677;31;1.5210000229999423;4.5660001346841455;8962
115589;2025;10;einsp;164.86400270462036;31;94.73500307742506;0.5990000506862998;8962
115589;2025;11;bezug;92.70499892532825;30;4.910000131465495;11.521000312641263;8962
115589;2025;11;einsp;86.49399776011705;30;59.03699906170368;0.4350000377744436;8962
115589;2025;12;bezug;181.3819940686226;31;5.76499979197979;26.496999682392925;8962
115589;2025;12;einsp;9.635000232607126;31;3.469000067561865;0.12800001073628664;8962
115589;2026;1;bezug;166.91999962180853;31;18.213000430725515;18.054000151343644;8962
115589;2026;1;einsp;22.083000111859292;31;9.073000264819711;0.3140000244602561;8962
115589;2026;2;bezug;24.474999748170376;28;2.857999957865104;3.1359998523257673;8962
115589;2026;2;einsp;160.27899964153767;28;83.4509993866086;0.48900004010647535;8962
115589;2026;3;bezug;11.296999901533127;31;0.7100000053178519;0.2470000172033906;8962
115589;2026;3;einsp;455.1940139234066;31;247.78899912163615;0.7300000619143248;8962
115589;2026;4;bezug;5.0030000023543835;30;0.2950000084238127;0.23300001304596663;8962
115589;2026;4;einsp;1002.3929371833801;30;449.8210060596466;0.743000065907836;8962
115589;2026;5;bezug;8.635000191628933;31;0.4160000174306333;1.7399999303743243;8962
115589;2026;5;einsp;1157.3389539718628;31;462.5820062160492;0.7520000673830509;8962
115589;2026;6;bezug;5.08400010317564;30;0.14100000483449548;0.34800002351403236;8962
115589;2026;6;einsp;1298.8339576721191;30;505.2589997649193;0.8170000780373812;8962
115589;2026;7;bezug;4.239000126719475;31;0.018000000272877514;0.37400002777576447;8962
115589;2026;7;einsp;1499.6469345092773;31;587.3320055007935;0.8970000855624676;8962
115607;2024;8;bezug;0.0;31;0.0;0.0;5506
115607;2024;8;einsp;0.0;31;0.0;0.0;5506
115607;2024;9;bezug;458.1869921684265;30;27.444998987019062;59.48700040578842;5506
115607;2024;9;einsp;467.4100012779236;30;215.47900247573853;0.0;5506
115607;2024;11;bezug;1067.8810005187988;30;63.68800091743469;95.75100004673004;5506
115607;2024;11;einsp;80.79500021785498;30;55.1419987026602;0.0;5506
115607;2024;12;bezug;1292.8879985809326;31;99.73100158758461;158.7389988899231;5506
115607;2024;12;einsp;50.36299994844012;31;33.41499986173585;0.0;5506
115607;2025;1;bezug;1373.3399868011475;31;90.9580000191927;141.00699818134308;5506
115607;2025;1;einsp;101.78600020706654;31;66.36700017750263;0.0;5506
115607;2025;2;bezug;1118.0049858093262;28;82.28699891269207;136.7689995765686;5506
115607;2025;2;einsp;121.43899892643094;28;58.81599884852767;0.0;5506
115607;2025;3;bezug;1015.1220054626465;31;46.26199948787689;168.3249989748001;5506
115607;2025;3;einsp;492.057998418808;31;246.33799850940704;0.0;5506
115607;2025;4;bezug;708.2320022583008;30;19.996000230195932;100.8769999742508;5506
115607;2025;4;einsp;798.1990022659302;30;326.7020049095154;0.0;5506
115607;2025;5;bezug;565.435004234314;31;70.34799934923649;61.04700154066086;5506
115607;2025;5;einsp;891.750009059906;31;352.5549957752228;0.0;5506
115607;2025;6;bezug;475.8480010032654;30;55.9869978063507;24.465000212192535;5506
115607;2025;6;einsp;1102.3929920196533;30;407.3969935774803;0.0;5506
115607;2025;7;bezug;438.18799448013306;31;31.513998882845044;24.106000185012817;5506
115607;2025;7;einsp;990.1170082092285;31;373.44600462913513;0.0;5506
115607;2025;8;bezug;447.3190040588379;31;31.375000553089194;25.325000047683716;5506
115607;2025;8;einsp;852.4200029373169;31;345.1590005159378;0.0;5506
115607;2025;9;bezug;642.4999942779541;30;72.96100099384785;36.25500017404556;5506
115607;2025;9;einsp;448.8340014219284;30;189.68000084161758;0.0;5506
115607;2025;10;bezug;929.7730016708374;31;80.03400074318051;73.1019994020462;5506
115607;2025;10;einsp;248.23499983549118;31;117.61600214987993;0.0;5506
115607;2025;11;bezug;1319.8769912719727;30;86.59900106489658;113.08099782466888;5506
115607;2025;11;einsp;121.91200110316277;30;66.97000071872026;0.0;5506
115607;2025;12;bezug;1683.2729930877686;31;95.55599860846996;154.35400289297104;5506
115607;2025;12;einsp;46.6790003660135;31;32.875999975483865;0.0;5506
115607;2026;1;bezug;1930.2519989013672;31;142.7149991467595;161.0579981803894;5506
115607;2026;1;einsp;44.58200085395947;31;29.593000259716064;0.0;5506
115607;2026;2;bezug;1104.8680000305176;28;48.47799867205322;102.70300054550171;5506
115607;2026;2;einsp;153.7309988439083;28;84.3189987540245;0.0;5506
115607;2026;3;bezug;1292.8290004730225;31;57.22599941492081;163.29300022125244;5506
115607;2026;3;einsp;438.71499836444855;31;209.55300188064575;0.0;5506
115607;2026;4;bezug;665.3520050048828;30;37.83599917963147;93.63400000333786;5506
115607;2026;4;einsp;770.3240022659302;30;325.7500005364418;0.0;5506
115607;2026;5;bezug;694.0850038528442;31;46.08999992895406;58.31800013780594;5506
115607;2026;5;einsp;896.8590092658997;31;330.7180096209049;0.0;5506
115607;2026;6;bezug;457.11700105667114;30;36.062000788748264;25.61700040102005;5506
115607;2026;6;einsp;952.9650020599365;30;334.7919991016388;0.0;5506
115607;2026;7;bezug;439.53999853134155;31;22.59200146049261;23.616999983787537;5506
115607;2026;7;einsp;1060.6450023651123;31;385.4540033340454;0.0;5506
116381;2024;9;bezug;245.4469985961914;30;6.360000056214631;49.70300030708313;4322
116381;2024;9;einsp;321.4649976491928;30;166.1870011240244;0.0;4322
116381;2024;11;bezug;1201.8909969329834;30;83.78599962592125;167.8709990978241;4322
116381;2024;11;einsp;109.40400186181068;30;80.7300002425909;0.0;4322
116381;2024;12;bezug;1897.266025543213;31;144.42899918556213;258.31099796295166;4322
116381;2024;12;einsp;50.716999469092116;31;37.77500085323118;0.0;4322
116381;2025;1;bezug;1878.7270050048828;31;124.45300126168877;278.70099782943726;4322
116381;2025;1;einsp;93.19200052320957;31;70.37599727511406;0.0;4322
116381;2025;2;bezug;1453.3409957885742;28;82.93800019472837;214.49499607086182;4322
116381;2025;2;einsp;173.39900038018823;28;113.3880019094795;0.0;4322
116381;2025;3;bezug;1030.2720127105713;31;16.479999584844336;203.6700029373169;4322
116381;2025;3;einsp;791.128002166748;31;414.66300052404404;0.0;4322
116381;2025;4;bezug;526.0990042686462;30;4.543000079574995;120.73200058937073;4322
116381;2025;4;einsp;1433.2720098495483;30;580.0419895648956;0.0;4322
116381;2025;5;bezug;272.0050024986267;31;2.1019999720156193;64.47199898958206;4322
116381;2025;5;einsp;1640.238995552063;31;585.3730041980743;0.0;4322
116381;2025;6;bezug;162.4170000553131;30;4.005000215955079;43.974999606609344;4322
116381;2025;6;einsp;1897.028003692627;30;615.2859869003296;0.0;4322
116381;2025;7;bezug;162.1370005607605;31;2.816000023507513;38.439999520778656;4322
116381;2025;7;einsp;1782.416986465454;31;616.0649962425232;0.0;4322
116381;2025;8;bezug;181.0230007171631;31;0.6629999775905162;40.4250003695488;4322
116381;2025;8;einsp;1753.8810076713562;31;672.3630065917969;0.0;4322
116381;2025;9;bezug;272.5800004005432;30;3.4650000352412462;48.451000928878784;4322
116381;2025;9;einsp;979.9229922294617;30;432.1610038280487;0.0;4322
116381;2025;10;bezug;954.5949974060059;31;23.8260000878945;170.94100093841553;4322
116381;2025;10;einsp;432.718005977571;31;276.772994378116;0.0;4322
116381;2025;11;bezug;1189.4489879608154;30;55.70500015839934;174.69899988174438;4322
116381;2025;11;einsp;164.76199543476105;30;114.66499754786491;0.0;4322
116381;2025;12;bezug;1499.0879936218262;31;111.83999985456467;199.34699654579163;4322
116381;2025;12;einsp;52.26800083182752;31;41.086000038310885;0.0;4322
116381;2026;1;bezug;2043.2009963989258;31;117.18799933046103;273.7249975204468;4322
116381;2026;1;einsp;96.97700025141239;31;75.03199923597276;0.0;4322
116381;2026;2;bezug;1269.9210109710693;28;75.14499872922897;187.38900065422058;4322
116381;2026;2;einsp;180.83599926531315;28;97.68700021505356;0.0;4322
116381;2026;3;bezug;900.019006729126;31;25.34200053452514;169.28600096702576;4322
116381;2026;3;einsp;775.7629981040955;31;346.7149906158447;0.0;4322
116381;2026;4;bezug;507.69399642944336;30;9.953999547054991;119.90600204467773;4322
116381;2026;4;einsp;1407.2559969425201;30;548.6759942471981;0.0;4322
116381;2026;5;bezug;324.0389986038208;31;2.668000024743378;82.50899922847748;4322
116381;2026;5;einsp;1748.1109952926636;31;634.4109964370728;0.0;4322
116381;2026;6;bezug;159.6670002937317;30;3.275000061839819;44.28700113296509;4322
116381;2026;6;einsp;1712.798994064331;30;618.7750005722046;0.0;4322
116381;2026;7;bezug;140.7190010547638;31;0.9659999683499336;36.06000053882599;4322
116381;2026;7;einsp;1922.4169998168945;31;738.6209945678711;0.0;4322
116778;2024;9;bezug;27.251999855041504;30;0.0400000000372529;1.7140000462532043;4322
116778;2024;9;einsp;79.55299758911133;30;38.486998558044434;0.0;4322
116778;2024;11;bezug;701.8530054092407;30;47.327000487130135;79.5029993057251;4322
116778;2024;11;einsp;166.0619992762804;30;103.66300186514854;0.0;4322
116778;2024;12;bezug;859.605001449585;31;65.9479995071888;110.10599994659424;4322
116778;2024;12;einsp;105.30299977213144;31;68.47300069406629;0.0;4322
116778;2025;1;bezug;879.784984588623;31;53.3000006750226;117.45199882984161;4322
116778;2025;1;einsp;162.6529997587204;31;96.17399922013283;0.0;4322
116778;2025;2;bezug;660.8000040054321;28;43.10500008426607;99.33900022506714;4322
116778;2025;2;einsp;281.7759952098131;28;129.8930012062192;0.0;4322
116778;2025;3;bezug;477.5199956893921;31;8.90199975669384;83.57200241088867;4322
116778;2025;3;einsp;957.2129993438721;31;424.9539943933487;0.0;4322
116778;2025;4;bezug;273.26399660110474;30;2.3290000408887863;54.225000500679016;4322
116778;2025;4;einsp;1478.1260108947754;30;590.6249957084656;0.0;4322
116778;2025;5;bezug;174.24599981307983;31;2.084999967366457;39.37600040435791;4322
116778;2025;5;einsp;1727.7899932861328;31;622.5110123157501;0.0;4322
116778;2025;6;bezug;109.7819994688034;30;0.4740000143647194;22.391000121831894;4322
116778;2025;6;einsp;1886.9070301055908;30;657.6509969234467;0.0;4322
116778;2025;7;bezug;97.24500095844269;31;0.2019999921321869;22.170000225305557;4322
116778;2025;7;einsp;1719.6540203094482;31;598.9279918670654;0.0;4322
116778;2025;8;bezug;116.89899933338165;31;0.2759999893605709;18.511000007390976;4322
116778;2025;8;einsp;1659.7400178909302;31;651.565999507904;0.0;4322
116778;2025;9;bezug;175.71799898147583;30;1.674000084400177;24.055000245571136;4322
116778;2025;9;einsp;1001.6599974632263;30;431.4340045452118;0.0;4322
116778;2025;10;bezug;386.3929982185364;31;7.267999678384513;52.029000759124756;4322
116778;2025;10;einsp;630.7069970518351;31;323.1360069178045;0.0;4322
116778;2025;11;bezug;690.211012840271;30;35.10700115887448;83.33499991893768;4322
116778;2025;11;einsp;229.81699627637863;30;129.37499774992466;0.0;4322
116778;2025;12;bezug;857.2210025787354;31;59.90000030398369;104.26299941539764;4322
116778;2025;12;einsp;88.78799885511398;31;60.38400086760521;0.0;4322
116778;2026;1;bezug;1159.7760009765625;31;87.29699937067926;146.28000116348267;4322
116778;2026;1;einsp;124.68799998564646;31;80.29699972271919;0.0;4322
116778;2026;2;bezug;746.6499996185303;28;34.698000555858016;112.12800121307373;4322
