plz,n_pv_plants,n_meters,pv_rate_raw,pv_rate
4303,123.0,2971.0,0.041400201952204646,0.04253848453908768
4310,185.0,7889.0,0.023450373938395233,0.023996569063179728
4312,214.0,915.0,0.23387978142076501,0.22747021947418017
4313,344.0,5752.0,0.059805285118219746,0.060239359150738345
4314,141.0,21.0,6.714285714285714,0.95
4315,61.0,265.0,0.23018867924528302,0.21113892632566308
4316,34.0,424.0,0.08018867924528301,0.08335181812781407
4317,42.0,525.0,0.08,0.08262393355231977
4322,58.0,899.0,0.06451612903225806,0.06692177217342873
4323,128.0,173.0,0.7398843930635838,0.5986939990698829
4324,43.0,625.0,0.0688,0.07186483228530943
4325,64.0,481.0,0.13305613305613306,0.13090162296155153
4332,62.0,54.0,1.1481481481481481,0.6491227095440757
4333,48.0,540.0,0.08888888888888889,0.09069281659759977
4334,56.0,1.0,56.0,0.95
4665,292.0,2.0,146.0,0.95
4805,248.0,209.0,1.186602870813397,0.95
4813,67.0,890.0,0.07528089887640449,0.07713698063040837
4814,47.0,3.0,15.666666666666666,0.95
5000,331.0,2.0,165.5,0.95
5026,30.0,7.0,4.285714285714286,0.6229607332032258
5027,92.0,817.0,0.11260709914320685,0.11246685327864345
5028,49.0,12.0,4.083333333333333,0.8791735772997398
5044,50.0,29.0,1.7241379310344827,0.7026425543365047
5046,62.0,188.0,0.32978723404255317,0.28365025963270535
5054,98.0,1.0,98.0,0.95
5070,182.0,1854.0,0.09816612729234088,0.09848149253812177
5072,87.0,631.0,0.13787638668779714,0.1358425283297854
5073,205.0,2.0,102.5,0.95
5074,86.0,1353.0,0.06356245380635625,0.06522363634539122
5075,46.0,585.0,0.07863247863247863,0.08111616030328168
5076,57.0,485.0,0.11752577319587629,0.11683880708894182
5077,29.0,2.0,14.5,0.6636300344727667
5078,45.0,336.0,0.13392857142857142,0.13085171448855926
5079,82.0,7.0,11.714285714285714,0.95
5105,109.0,965.0,0.11295336787564766,0.11281651408136342
5106,58.0,838.0,0.06921241050119331,0.0715188758925494
5107,87.0,1172.0,0.07423208191126279,0.07570275105776093
5108,21.0,290.0,0.07241379310344828,0.07796694644877608
5112,55.0,12.0,4.583333333333333,0.95
5113,29.0,935.0,0.031016042780748664,0.035034275931557224
5213,81.0,19.0,4.2631578947368425,0.95
5223,46.0,1.0,46.0,0.95
5225,83.0,963.0,0.08618899273104881,0.08737291391173137
5235,44.0,348.0,0.12643678160919541,0.12439387385071324
5236,42.0,705.0,0.059574468085106386,0.06292551230805811
5237,25.0,239.0,0.10460251046025104,0.10556664980132827
5244,29.0,520.0,0.05576923076923077,0.060541687355410295
5272,61.0,34.0,1.7941176470588236,0.7917709737212365
5301,2.0,246.0,0.008130081300813009,0.025367438488459012
5304,93.0,1273.0,0.07305577376276512,0.07445862569356301
5305,15.0,185.0,0.08108108108108109,0.08727132677695264
5306,49.0,737.0,0.06648575305291723,0.06926145081649793
5312,90.0,2196.0,0.040983606557377046,0.042523936684142415
5313,86.0,2118.0,0.04060434372049103,0.04220883846521396
5314,50.0,2100.0,0.023809523809523808,0.025818028740736684
5315,13.0,183.0,0.07103825136612021,0.07943674589091788
5316,79.0,1120.0,0.07053571428571428,0.07222971093383236
5322,61.0,996.0,0.06124497991967871,0.06358390228736507
5324,59.0,414.0,0.14251207729468598,0.1390275038633273
5325,38.0,1.0,38.0,0.8531129763251739
5330,118.0,3050.0,0.038688524590163934,0.03984153606212383
5332,44.0,523.0,0.0841300191204589,0.08640272564150762
5334,9.0,102.0,0.08823529411764706,0.09545238021436755
5425,81.0,632.0,0.1281645569620253,0.12684569177798222
5426,125.0,1558.0,0.08023106546854943,0.08116216529389544
5443,111.0,2599.0,0.042708734128510964,0.04398216753211924
5445,46.0,474.0,0.0970464135021097,0.0982991637263051
5452,138.0,1064.0,0.12969924812030076,0.1288229459538455
5454,58.0,5.0,11.6,0.95
5462,48.0,10.0,4.8,0.8918126965430645
5464,14.0,208.0,0.0673076923076923,0.0756153557852088
5467,28.0,294.0,0.09523809523809523,0.09740919125751124
5504,108.0,1757.0,0.061468412066021626,0.06281613823607297
5505,29.0,512.0,0.056640625,0.061403490734135
5506,87.0,1238.0,0.07027463651050081,0.07182357282032908
5507,100.0,5.0,20.0,0.95
5522,77.0,734.0,0.10490463215258855,0.10524076759258147
