id,family,features,hypothesis,n,positives,prevalence,pr_auc,roc_auc,balanced_accuracy,f1,precision,recall,brier,threshold,development_group_cv_pr_auc,rank
E22_lgbm_total,lightgbm,all_netload,Windowed meter context adds useful evidence to load shape.,67,14,0.208955223880597,0.5883972887660776,0.7601078167115902,0.7513477088948787,0.55,0.4230769230769231,0.7857142857142857,0.1698718441082243,0.39199775953588806,0.3520216347549572,1
E21_hgb_shape,hist_gradient_boosting,load_shape,The mean hourly profile adds charging-time evidence.,67,14,0.208955223880597,0.5778386080680059,0.7102425876010782,0.694743935309973,0.4782608695652174,0.34375,0.7857142857142857,0.16401377783522808,0.2641122627827951,0.373353273239152,2
E20_hgb_compact,hist_gradient_boosting,compact,Nonlinear interactions improve on the compact linear baseline.,67,14,0.208955223880597,0.5350832649438242,0.692722371967655,0.6765498652291105,0.5,0.6,0.42857142857142855,0.18453815698184267,0.682801455097468,0.43790094951952524,3
E10_peak,heuristic,peak,,67,14,0.208955223880597,0.3272951749914573,0.5882749326145552,0.6495956873315364,0.43478260869565216,0.3125,0.7142857142857143,0.30853030459198766,0.5373134328358209,,4
E11_high_fraction,heuristic,high_fraction,,67,14,0.208955223880597,0.3030328996063279,0.5909703504043127,0.6212938005390836,0.40816326530612246,0.2857142857142857,0.7142857142857143,0.3075345039117179,0.5,,5
E12_composite,heuristic,composite,,67,14,0.208955223880597,0.30245372687713123,0.5828840970350404,0.6233153638814016,0.4090909090909091,0.3,0.6428571428571429,0.321063018636739,0.5909756097560976,,6
E02_logistic_compact,logistic,compact,Robust annual load statistics separate repeated EV demand from household scale.,67,14,0.208955223880597,0.29513779280567565,0.6347708894878705,0.694743935309973,0.4782608695652174,0.34375,0.7857142857142857,0.24157454390662367,0.5137309801610814,0.32318480706095665,7
E23_logistic_total,logistic,all_netload,A regularized full-feature linear model is a stable low-variance alternative.,67,14,0.208955223880597,0.24951136716452643,0.5673854447439353,0.6610512129380054,0.45,0.34615384615384615,0.6428571428571429,0.23507925045137346,0.527506063015734,0.3351699141160074,8
E01_dummy,dummy,none,,67,14,0.208955223880597,0.208955223880597,0.5,0.5,0.345679012345679,0.208955223880597,1.0,0.16529357969225855,0.2097560975609756,,9
