amplitude_kw,minimum_duration_hours,family,weekly_score_cutoff,minimum_evidence_weeks,score_floor,flagged,new_positive_overrides,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
1.5,1.5,block,0.85,1,0.7,56,34,0.31343283582089554,0.5660377358490566,0.4875717148343849,0.23333333333333334,1.0,0.3783783783783784,0.36445970103564956
1.5,1.5,block,0.85,1,0.9,56,34,0.31343283582089554,0.5660377358490566,0.1885189721402111,0.23333333333333334,1.0,0.3783783783783784,0.5708525817292395
1.5,1.5,block,0.85,2,0.7,55,33,0.29850746268656714,0.5303234501347709,0.4813203437009811,0.22033898305084745,0.9285714285714286,0.3561643835616438,0.37250166952344077
1.5,1.5,block,0.85,2,0.9,55,33,0.29850746268656714,0.5303234501347709,0.17763580768561807,0.22033898305084745,0.9285714285714286,0.3561643835616438,0.580088580067777
1.5,1.5,block,0.85,3,0.7,54,32,0.31343283582089554,0.5397574123989218,0.4833221060656566,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.3655971842321133
1.5,1.5,block,0.85,3,0.9,54,32,0.31343283582089554,0.5397574123989218,0.18083292857647926,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.5684079753734645
1.5,1.5,block,0.85,4,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,1.5,block,0.85,4,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,1.5,block,0.9,1,0.7,55,33,0.3283582089552239,0.5754716981132075,0.48968116730835176,0.23728813559322035,1.0,0.3835616438356164,0.35755521574432214
1.5,1.5,block,0.9,1,0.9,55,33,0.3283582089552239,0.5754716981132075,0.1918973408591119,0.23728813559322035,1.0,0.3835616438356164,0.559171977034927
1.5,1.5,block,0.9,2,0.7,54,32,0.31343283582089554,0.5397574123989218,0.4833221060656566,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.3655971842321133
1.5,1.5,block,0.9,2,0.9,54,32,0.31343283582089554,0.5397574123989218,0.18083292857647926,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.5684079753734645
1.5,1.5,block,0.9,3,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,1.5,block,0.9,3,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,1.5,block,0.9,4,0.7,52,31,0.3283582089552239,0.5491913746630728,0.4867480637922367,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.35813233334667055
