direction,amplitude_kw,minimum_duration_hours,rise_kw_per_15min,relative_mad_max,paired_edge_required,minimum_events,minimum_evidence_weeks,score_floor,score_ceiling,evidence_flags,changed_predictions,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
positive_rescue,1.5,1.5,1.0,0.2,False,2,1,0.7,0.3,60,38,0.2537313432835821,0.5283018867924528,0.47981013642015935,0.21875,1.0,0.358974358974359,0.3898996077040381
positive_rescue,1.5,1.5,1.0,0.2,False,2,1,0.9,0.3,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
positive_rescue,1.5,1.5,1.0,0.2,False,2,1,0.9,0.1,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
negative_veto,1.5,1.5,1.0,0.2,False,2,1,0.7,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,2,1,0.9,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,2,1,0.9,0.1,60,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20918998568673583
two_way,1.5,1.5,1.0,0.2,False,2,1,0.7,0.3,60,42,0.19402985074626866,0.38544474393531,0.3672619047619047,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.41159640914368867
two_way,1.5,1.5,1.0,0.2,False,2,1,0.9,0.3,60,42,0.19402985074626866,0.38544474393531,0.18154761904761904,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.637093767449219
two_way,1.5,1.5,1.0,0.2,False,2,1,0.9,0.1,60,42,0.19402985074626866,0.38544474393531,0.17965367965367965,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.6547151075880799
positive_rescue,1.5,1.5,1.0,0.2,False,2,2,0.7,0.3,60,38,0.2537313432835821,0.5283018867924528,0.47981013642015935,0.21875,1.0,0.358974358974359,0.3898996077040381
positive_rescue,1.5,1.5,1.0,0.2,False,2,2,0.9,0.3,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
positive_rescue,1.5,1.5,1.0,0.2,False,2,2,0.9,0.1,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
negative_veto,1.5,1.5,1.0,0.2,False,2,2,0.7,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,2,2,0.9,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,2,2,0.9,0.1,60,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20918998568673583
two_way,1.5,1.5,1.0,0.2,False,2,2,0.7,0.3,60,42,0.19402985074626866,0.38544474393531,0.3672619047619047,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.41159640914368867
two_way,1.5,1.5,1.0,0.2,False,2,2,0.9,0.3,60,42,0.19402985074626866,0.38544474393531,0.18154761904761904,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.637093767449219
two_way,1.5,1.5,1.0,0.2,False,2,2,0.9,0.1,60,42,0.19402985074626866,0.38544474393531,0.17965367965367965,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.6547151075880799
positive_rescue,1.5,1.5,1.0,0.2,False,3,1,0.7,0.3,60,38,0.2537313432835821,0.5283018867924528,0.47981013642015935,0.21875,1.0,0.358974358974359,0.3898996077040381
positive_rescue,1.5,1.5,1.0,0.2,False,3,1,0.9,0.3,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
positive_rescue,1.5,1.5,1.0,0.2,False,3,1,0.9,0.1,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
negative_veto,1.5,1.5,1.0,0.2,False,3,1,0.7,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,3,1,0.9,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,3,1,0.9,0.1,60,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20918998568673583
two_way,1.5,1.5,1.0,0.2,False,3,1,0.7,0.3,60,42,0.19402985074626866,0.38544474393531,0.3672619047619047,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.41159640914368867
two_way,1.5,1.5,1.0,0.2,False,3,1,0.9,0.3,60,42,0.19402985074626866,0.38544474393531,0.18154761904761904,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.637093767449219
two_way,1.5,1.5,1.0,0.2,False,3,1,0.9,0.1,60,42,0.19402985074626866,0.38544474393531,0.17965367965367965,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.6547151075880799
positive_rescue,1.5,1.5,1.0,0.2,False,3,2,0.7,0.3,60,38,0.2537313432835821,0.5283018867924528,0.47981013642015935,0.21875,1.0,0.358974358974359,0.3898996077040381
positive_rescue,1.5,1.5,1.0,0.2,False,3,2,0.9,0.3,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
positive_rescue,1.5,1.5,1.0,0.2,False,3,2,0.9,0.1,60,38,0.2537313432835821,0.5283018867924528,0.176117294926079,0.21875,1.0,0.358974358974359,0.6153969660095684
negative_veto,1.5,1.5,1.0,0.2,False,3,2,0.7,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,3,2,0.9,0.3,60,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,False,3,2,0.9,0.1,60,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20918998568673583
two_way,1.5,1.5,1.0,0.2,False,3,2,0.7,0.3,60,42,0.19402985074626866,0.38544474393531,0.3672619047619047,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.41159640914368867
two_way,1.5,1.5,1.0,0.2,False,3,2,0.9,0.3,60,42,0.19402985074626866,0.38544474393531,0.18154761904761904,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.637093767449219
two_way,1.5,1.5,1.0,0.2,False,3,2,0.9,0.1,60,42,0.19402985074626866,0.38544474393531,0.17965367965367965,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.6547151075880799
positive_rescue,1.5,1.5,1.0,0.2,True,2,1,0.7,0.3,59,37,0.26865671641791045,0.5377358490566038,0.4816557065272786,0.2222222222222222,1.0,0.36363636363636365,0.38299512241271066
positive_rescue,1.5,1.5,1.0,0.2,True,2,1,0.9,0.3,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
positive_rescue,1.5,1.5,1.0,0.2,True,2,1,0.9,0.1,59,37,0.26865671641791045,0.5377358490566038,0.1790621100445066,0.2222222222222222,1.0,0.36363636363636365,0.6037163613152559
negative_veto,1.5,1.5,1.0,0.2,True,2,1,0.7,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,True,2,1,0.9,0.3,59,4,0.6716417910447762,0.6084905660377358,0.4429137780627719,0.3181818181818182,0.5,0.3888888888888889,0.1915686455478749
negative_veto,1.5,1.5,1.0,0.2,True,2,1,0.9,0.1,59,4,0.6716417910447762,0.6084905660377358,0.4078640367630305,0.3181818181818182,0.5,0.3888888888888889,0.20893029187358564
two_way,1.5,1.5,1.0,0.2,True,2,1,0.7,0.3,59,41,0.208955223880597,0.3948787061994609,0.3694646220069948,0.1694915254237288,0.7142857142857143,0.273972602739726,0.40469192385236125
two_way,1.5,1.5,1.0,0.2,True,2,1,0.9,0.3,59,41,0.208955223880597,0.3948787061994609,0.1845574387947269,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6254131627549064
two_way,1.5,1.5,1.0,0.2,True,2,1,0.9,0.1,59,41,0.208955223880597,0.3948787061994609,0.18167143590872403,0.1694915254237288,0.7142857142857143,0.273972602739726,0.6427748090806172
positive_rescue,1.5,1.5,1.0,0.2,True,2,2,0.7,0.3,59,37,0.26865671641791045,0.5377358490566038,0.4816557065272786,0.2222222222222222,1.0,0.36363636363636365,0.38299512241271066
